state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
Connecticut,CT,04/19/2021,126,54990,54990,40400.0,40400.0,0.0
Maine,ME,04/19/2021,126,21060,21060,15400.0,15400.0,0.0
Massachusetts,MA,04/19/2021,126,105300,105300,77700.0,77700.0,0.0
New Hampshire,NH,04/19/2021,126,21060,21060,15500.0,15500.0,0.0
Rhode Island,RI,04/19/2021,126,16380,16380,12100.0,12100.0,0.0
Vermont,VT,04/19/2021,126,10530,10530,7300.0,7300.0,0.0
New Jersey,NJ,04/19/2021,126,132210,132210,98500.0,98500.0,0.0
New York,NY,04/19/2021,126,168480,168480,125400.0,125400.0,0.0
New York City,,04/19/2021,126,128700,128700,95200.0,95200.0,0.0
Puerto Rico,PR,04/19/2021,126,52650,52650,38500.0,38500.0,0.0
U.S. Virgin Islands,,04/19/2021,126,2340,2340,1200.0,1200.0,0.0
Delaware,DE,04/19/2021,126,15210,15210,10700.0,10700.0,0.0
District of Columbia,DC,04/19/2021,126,11700,11700,8100.0,8100.0,0.0
Maryland,MD,04/19/2021,126,90090,90090,66500.0,66500.0,0.0
Pennsylvania,PA,04/19/2021,126,170820,170820,126700.0,126700.0,0.0
Philadelphia,,04/19/2021,126,24570,24570,17600.0,17600.0,0.0
Virginia,VA,04/19/2021,126,126360,126360,93300.0,93300.0,0.0
West Virginia,WV,04/19/2021,126,28080,28080,20800.0,20800.0,0.0
Alabama,AL,04/19/2021,126,72540,72540,53700.0,53700.0,0.0
Florida,FL,04/19/2021,126,314730,314730,234500.0,234500.0,0.0
Georgia,GA,04/19/2021,126,149760,149760,111100.0,111100.0,0.0
Kentucky,KY,04/19/2021,126,66690,66690,48900.0,48900.0,0.0
Mississippi,MS,04/19/2021,126,44460,44460,32400.0,32400.0,0.0
North Carolina,NC,04/19/2021,126,150930,150930,112100.0,112100.0,0.0
South Carolina,SC,04/19/2021,126,74880,74880,55000.0,55000.0,0.0
Tennessee,TN,04/19/2021,126,99450,99450,73400.0,73400.0,0.0
Chicago,,04/19/2021,126,40950,40950,29900.0,29900.0,0.0
Illinois,IL,04/19/2021,126,149760,149760,111300.0,111300.0,0.0
Indiana,IN,04/19/2021,126,97110,97110,72200.0,72200.0,0.0
Michigan,MI,04/19/2021,126,148590,148590,110600.0,110600.0,0.0
Minnesota,MN,04/19/2021,126,81900,81900,60600.0,60600.0,0.0
Ohio,OH,04/19/2021,126,173160,173160,128600.0,128600.0,0.0
Wisconsin,WI,04/19/2021,126,86580,86580,64400.0,64400.0,0.0
Arkansas,AR,04/19/2021,126,44460,44460,32600.0,32600.0,0.0
