,state_name,state_code,population,median_age,household_income,per_capita_income,poverty_count,poverty_rate,unemployment_count,unemployment_rate
0,Alabama,AL,4876250.0,39.0,50536.0,27928.0,795989.0,16.323793899000258,132095.0,2.7089464239938477
1,Alaska,AK,737068.0,34.3,77640.0,36787.0,76933.0,10.437707240037554,26808.0,3.6371135363358604
2,Arizona,AZ,7050299.0,37.7,58945.0,30694.0,1043764.0,14.804535240278462,195905.0,2.778676478827352
3,Arkansas,AR,2999370.0,38.1,47597.0,26577.0,496260.0,16.545474549655427,70481.0,2.3498601372954986
4,California,CA,39283497.0,36.5,75235.0,36955.0,5149742.0,13.109174063602332,1199233.0,3.052765388987645
5,Colorado,CO,5610349.0,36.7,72331.0,38226.0,565873.0,10.086235276985443,131371.0,2.3415833845630636
6,Delaware,DE,957248.0,40.6,68287.0,35450.0,109400.0,11.42859530654543,26481.0,2.766367754228789
7,District of Columbia,DC,692683.0,34.0,86420.0,56147.0,107140.0,15.46739273231767,27967.0,4.037489010124401
8,Connecticut,CT,3575074.0,41.0,78444.0,44496.0,344146.0,9.626262281563962,116456.0,3.2574430627170234
9,Florida,FL,20901636.0,42.0,55660.0,31619.0,2870487.0,13.733312550271185,561448.0,2.686143802332028
10,Georgia,GA,10403847.0,36.7,58700.0,31067.0,1528558.0,14.69223836144457,290560.0,2.7928130815457015
11,Idaho,ID,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753456,35879.0,2.0887207102314074
12,Hawaii,HI,1422094.0,39.1,81275.0,35567.0,130649.0,9.187086085729916,30269.0,2.1284809583614024
13,Illinois,IL,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752434,394981.0,3.0928855434003224
14,Indiana,IN,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414103,161351.0,2.420614899883778
15,Iowa,IA,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145705,62573.0,1.993082992621774
16,Kansas,KS,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246478,61002.0,2.0958190810856125
17,Kentucky,KY,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065,116945.0,2.6285374951787484
18,Louisiana,LA,4664362.0,36.9,49469.0,27923.0,871467.0,18.683519846872947,141020.0,3.023350245971475
19,Maine,ME,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472,28922.0,2.165643822651128
20,Maryland,MD,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695,164396.0,2.7313532423480376
21,Massachusetts,MA,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036,183355.0,2.676499254877672
22,Michigan,MI,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399,293894.0,2.949183990591319
23,Minnesota,MN,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989,111115.0,1.9972577811538241
24,Mississippi,MS,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848388,99733.0,3.3417905936768912
25,Missouri,MO,6104910.0,38.6,55461.0,30810.0,810045.0,13.268745976599163,139789.0,2.289779865714646
26,Montana,MT,1050649.0,39.9,54970.0,31151.0,134605.0,12.811605017470153,21513.0,2.0475915362790045
27,Nebraska,NE,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411496,34535.0,1.803798344381065
28,Nevada,NV,2972382.0,38.0,60365.0,31557.0,384690.0,12.942145390464617,92426.0,3.1094926560583396
29,New Hampshire,NH,1348124.0,42.9,76768.0,40003.0,98682.0,7.319949796902955,27430.0,2.0346793024973966
30,New Jersey,NJ,8878503.0,39.9,82545.0,42745.0,869081.0,9.788598370693798,258093.0,2.9069427582555303
31,New Mexico,NM,2092454.0,37.8,49754.0,27230.0,392065.0,18.737090516685193,63458.0,3.032707051146644
32,New York,NY,19572319.0,38.8,68486.0,39326.0,2681277.0,13.699332204834798,547509.0,2.7973639710245886
33,North Carolina,NC,10264876.0,38.7,54602.0,30783.0,1467591.0,14.29721118891256,281344.0,2.7408416818673698
34,North Dakota,ND,756717.0,35.1,64894.0,36062.0,78198.0,10.333850039050265,11406.0,1.507300615685917
35,Ohio,OH,11655397.0,39.4,56602.0,31552.0,1588343.0,13.627532378347988,314483.0,2.6981749313215158
36,Oklahoma,OK,3932870.0,36.6,52919.0,28422.0,598373.0,15.214665117331618,94834.0,2.4113179433848564
37,Oregon,OR,4129803.0,39.3,62818.0,33763.0,533527.0,12.918945528394454,114559.0,2.773957982983692
38,Pennsylvania,PA,12791530.0,40.8,61744.0,34352.0,1539183.0,12.032829536419802,347378.0,2.715687646434789
39,Rhode Island,RI,1057231.0,39.9,67167.0,36121.0,125826.0,11.901467134429467,30455.0,2.880638195436948
40,South Carolina,SC,5020806.0,39.4,53199.0,29426.0,741650.0,14.771532698136514,139526.0,2.7789562074296437
41,South Dakota,SD,870638.0,37.0,58275.0,30773.0,110553.0,12.697929564296528,15736.0,1.8074101980386796
42,Tennessee,TN,6709356.0,38.7,53320.0,29859.0,996930.0,14.858803139973494,172799.0,2.5754930875630984
43,Texas,TX,28260856.0,34.6,61874.0,31277.0,4072194.0,14.409308762622052,708827.0,2.508158280839052
44,Vermont,VT,624313.0,42.9,61973.0,34577.0,65652.0,10.51587905425644,12323.0,1.9738496555413712
45,Utah,UT,3096848.0,30.8,71621.0,29775.0,298537.0,9.64002753767702,55539.0,1.793404132201516
46,Virginia,VA,8454463.0,38.2,74222.0,39278.0,865691.0,10.239455776197731,200850.0,2.3756683304427497
47,Washington,WA,7404107.0,37.7,73775.0,38915.0,785244.0,10.605519342170501,187330.0,2.530082290815084
48,West Virginia,WV,1817305.0,42.5,46711.0,26480.0,310044.0,17.06064749725555,51910.0,2.856427512167743
49,Wisconsin,WI,5790716.0,39.5,61747.0,33375.0,639160.0,11.037667880794016,111564.0,1.9266011318807554
50,Wyoming,WY,581024.0,37.7,64049.0,33366.0,62257.0,10.715047915404528,13544.0,2.331056892658479
51,Puerto Rico,PR,3318447.0,41.7,20539.0,12914.0,1449091.0,43.667745785905275,196934.0,5.9345229862040885
